Localitate                 Voturi Totale    Raport Suplimentare/Total    Raport Votat/Inscrisi    Ponta    Iohannis
-----------------------  ---------------  ---------------------------  -----------------------  -------  ----------
ORAŞ BĂILE OLĂNEŞTI             3248                      32.3276                  84.0362  49.9076     26.5086
LĂDEŞTI                           1142                      27.6708                  75.3298  50.5254     36.4273
ORAŞ BĂILE GOVORA                 2082                      27.4736                  81.9685  37.9923     41.3545
MĂCIUCA                            1161                      27.3902                  75.2918  36.1757     50.9905
ORAŞ CĂLIMĂNEŞTI                5131                      27.3436                   68.633  37.8874     40.7718
MILCOIU                              688                      24.4186                  65.3992    43.75     33.7209
TITEŞTI                             521                      24.3762                   75.398   24.952     60.2687
GHIOROIU                             816                       23.652                  61.1236  47.1814     30.0245
CÎINENI                            1117                      21.0385                  60.0538  29.7225     53.3572
ZĂTRENI                            1114                      20.2873                  56.0644  50.8079     26.0323
RACOVIŢA                            788                      19.2893                  57.7289  25.7614     55.9645
DĂNICEI                            1124                      19.2171                  63.6467  60.7651     17.7936
STĂNEŞTI                           665                      18.4962                  66.3011  43.4586     40.9023
TETOIU                              1148                      18.3798                  54.6927  52.0906     28.6585
ŞUŞANI                            1572                       18.257                  57.6458  60.4326     22.9644
LĂPUŞATA                          1046                      17.8776                  58.9628  44.8375     38.8145
ROŞIILE                            1100                      17.8182                  51.1628  50.1818     24.8182
LUNGEŞTI                           1488                      17.8091                  56.7289   53.293     28.6962
GLĂVILE                             959                       17.414                  55.6911  49.8436     25.0261
RUNCU                                496                      17.3387                  59.4012  36.8952     37.2984
